daily_usage_hours,site_categories_visited,sessions_per_day
9.884956655409606,2,13
1.0232200993401288,9,1
10.394204506428354,9,3
5.990237411199965,6,16
3.558451075443144,4,4
3.1813590049817853,4,16
5.184126707164352,6,19
11.98859397724374,5,1
2.6439287212509908,6,5
1.2385997865479954,7,19
7.020422024623943,7,11
5.862509597283085,9,13
6.290355252759689,8,5
8.003225010686606,6,4
3.2057288384477918,6,4
10.927979944606662,5,4
5.228064793467484,1,4
1.5490343417095414,9,18
8.907585080807332,9,18
7.717252231414204,9,16
3.788920829808445,8,9
7.458224688408582,3,18
2.6383434764277225,1,2
5.3380723120863545,8,4
10.792950266007903,7,12
1.602410797928993,5,7
4.6403573998495435,7,15
9.853709096644167,4,7
11.633890792874137,9,17
5.447113637061551,2,16
6.08399544172017,9,19
6.866063541405237,9,9
11.18817769960453,5,14
10.298481491724358,1,17
2.047213495459732,7,5
5.2410938141649,4,2
5.568005138357115,9,16
9.46915333978508,6,14
7.234714591265224,3,14
7.850645544348156,6,1
11.97839889198741,6,3
0.8995205216401567,5,7
2.676117882404796,2,15
4.894751248458562,2,19
4.173388836586646,7,2
0.25974673616380306,2,19
1.10133127765411,6,9
8.171439496842915,5,19
10.551893560350727,4,5
6.1707241351917315,7,18
6.470292954163596,8,16
3.0611211939885528,4,4
9.214516363604536,1,12
9.021535048407076,1,7
7.060388270611879,1,14
2.551971438136114,1,12
1.1642186188450734,5,3
0.7708629102855107,4,5
7.112352799714533,9,17
9.900423829713601,3,10
10.299965181371098,7,10
5.563464892121398,8,11
9.411255591680604,6,17
11.362562356092283,1,5
3.302041349856816,8,13
4.775524156569086,3,10
11.177747911160168,8,9
4.058771607807419,4,17
10.966515483861556,8,1
11.772538347053588,1,4
7.941728742893096,3,4
9.80268347405002,6,18
8.994546770653022,9,9
8.394411091386285,2,18
3.683172875774791,1,14
0.6851320548953246,3,15
4.116620790235807,4,6
8.00323182244688,5,10
1.2303503787336165,3,15
0.1430157957389051,2,4
1.6763084712352638,2,18
8.588831116929544,7,18
11.673524419877328,9,17
11.796776395377846,2,12
5.927749789682255,7,7
10.432227611908168,7,16
8.84191746901805,7,11
6.012482843815241,3,14
6.873126395461041,7,3
1.646725759402453,1,19
11.251937527399104,1,18
4.223157248781321,5,10
5.353791077486035,2,6
8.059922771974785,9,13
4.006829658318647,7,10
3.0511099318671664,4,18
7.572592719242647,4,16
0.2998089873821934,2,6
8.648701344320147,5,13
6.168280438518117,4,4
